date,nr_bikes_picked_up,nr_bikes_dropped_off
4/1/2012,53,46
4/2/2012,75,80
4/3/2012,124,126
4/4/2012,109,140
4/5/2012,117,117
4/6/2012,28,48
4/7/2012,118,128
4/8/2012,80,63
4/9/2012,116,142
4/10/2012,187,158
4/11/2012,164,149
4/12/2012,91,148
4/13/2012,110,108
4/14/2012,103,102
4/15/2012,77,87
4/16/2012,221,239
4/17/2012,172,159
4/18/2012,125,141
4/19/2012,118,194
4/20/2012,127,158
4/21/2012,101,117
4/22/2012,90,99
4/23/2012,84,118
4/24/2012,160,167
4/25/2012,138,146
4/26/2012,161,227
4/27/2012,138,142
4/28/2012,107,111
4/29/2012,101,106
4/30/2012,122,132
5/1/2012,66,74
5/2/2012,103,129
5/3/2012,128,129
5/4/2012,120,130
5/5/2012,95,83
5/6/2012,100,91
5/7/2012,131,139
5/8/2012,83,100
5/9/2012,95,118
5/10/2012,107,110
5/11/2012,127,127
5/12/2012,63,57
5/13/2012,83,85
5/14/2012,78,82
5/15/2012,88,147
5/16/2012,132,156
5/17/2012,192,180
5/18/2012,133,103
5/19/2012,118,170
5/20/2012,53,64
5/21/2012,167,170
5/22/2012,105,103
5/23/2012,160,153
5/24/2012,179,203
5/25/2012,246,258
5/26/2012,3,3
5/27/2012,115,124
5/28/2012,158,164
5/29/2012,169,188
5/30/2012,188,177
5/31/2012,227,220
6/1/2012,124,178
6/2/2012,86,101
6/3/2012,137,145
6/4/2012,108,123
6/5/2012,155,171
6/6/2012,197,173
6/7/2012,211,199
6/8/2012,201,232
6/9/2012,101,99
6/10/2012,106,112
6/11/2012,102,98
6/12/2012,176,226
6/13/2012,118,121
6/14/2012,138,200
6/15/2012,186,180
6/16/2012,91,70
6/17/2012,128,140
6/18/2012,201,255
6/19/2012,199,198
6/20/2012,189,193
6/21/2012,168,209
6/22/2012,185,189
6/23/2012,72,93
6/24/2012,132,134
6/25/2012,194,204
6/26/2012,136,152
6/27/2012,162,178
6/28/2012,203,203
6/29/2012,80,131
6/30/2012,104,103
7/1/2012,97,94
7/2/2012,198,205
7/3/2012,213,216
7/4/2012,117,122
7/5/2012,182,187
7/6/2012,254,254
7/7/2012,107,110
7/8/2012,52,60
7/9/2012,236,227
7/10/2012,201,195
7/11/2012,262,266
7/12/2012,251,252
7/13/2012,204,218
7/14/2012,94,90
7/15/2012,75,90
7/16/2012,215,218
7/17/2012,122,130
7/18/2012,159,146
7/19/2012,175,186
7/20/2012,164,155
7/21/2012,58,64
7/22/2012,113,122
7/23/2012,164,155
7/24/2012,166,175
7/25/2012,233,241
7/26/2012,202,197
7/27/2012,148,154
7/28/2012,54,63
7/29/2012,99,104
7/30/2012,301,292
7/31/2012,128,154
8/1/2012,312,302
8/2/2012,267,283
8/3/2012,358,388
8/4/2012,86,81
8/5/2012,173,187
8/6/2012,497,512
8/7/2012,385,413
8/8/2012,424,456
8/9/2012,273,264
8/10/2012,325,334
8/11/2012,107,101
8/12/2012,116,137
8/13/2012,385,368
8/14/2012,351,347
8/15/2012,306,325
8/16/2012,455,474
8/17/2012,425,456
8/18/2012,119,130
8/19/2012,179,176
8/20/2012,329,313
8/21/2012,406,422
8/22/2012,512,494
8/23/2012,476,501
8/24/2012,477,493
8/25/2012,122,116
8/26/2012,166,181
8/27/2012,529,564
8/28/2012,314,318
8/29/2012,364,336
8/30/2012,455,485
8/31/2012,353,347
9/1/2012,111,106
9/2/2012,87,121
9/3/2012,273,257
9/4/2012,491,494
9/5/2012,368,381
9/6/2012,561,578
9/7/2012,566,569
9/8/2012,91,94
9/9/2012,93,105
9/10/2012,608,623
9/11/2012,504,522
9/12/2012,509,492
9/13/2012,407,436
9/14/2012,409,402
9/15/2012,77,75
9/16/2012,94,105
9/17/2012,650,646
9/18/2012,509,508
9/19/2012,471,480
9/20/2012,485,512
9/21/2012,394,396
9/22/2012,113,112
9/23/2012,118,127
9/24/2012,640,687
9/25/2012,578,619
9/26/2012,461,551
9/27/2012,669,677
9/28/2012,370,370
9/29/2012,76,91
9/30/2012,78,72
